page,text_arabic_ocr
36,"() يجب أن يمسك البائع دفاتر وحسابات منتظمة.
:-في تطبيق حكم الفقرة الأخيرة من المادة (/ا) من هذه
اللائحة» تتحدد قيمة الخدمة على أساس إجمالي التكلفة.
/ا- مع مراعاة حكم البند (8) من هذه المادة تقدر قيمة السلع | 50-في تطبيق أحكام البند ‎)١(‏ من المادة ‎)٠١(‏ من القانون,
المستوردة من الخارج في مرحلة الافراج عنها من الجمارك يكون وعاء الضريبة بالنسبة للسلع المستوردة من الخارج
بالقيمة المتخذة أساسا لتحديد الضردبة الجمركية بما فيها والمعفاة من الضريبة الجمركية كليا هي القيمة المتخذة أساسا
الخدمات المرتبطة بالسلعة المستوردة مضافا اليها الضرائب | لتحديد الضريبة الجمركية مضافا إليها الضرائب والرسوم
الجمركية وغيرها من الضرائب والرسوم المفروضة على الا تقل | الأخرى, فيما عدا الضريبة الجمركية المعفاة منها وفى حالة
القيمة الواجب الاقرار عنها عند بيعها في السوق المحلي عن |الاعفاء الجزثي من الضريبة الجمركية أو تخفيض هذه
القيمة المتخذة أساسا لربط الضريبة عند الافراج الجمرى ما | الضريبة فإن وعاء الضريبة يكون هو القيمة المتخذة أساسا
لم تكن هناك اسباب تجارية تبرر القيمة المخفضة وتحدد لتحديد الضريبة الجمركية مضاف إليها الضريبية الجمركية
اللائحة التنفيذية الاسباب التي تعد تجارية. المخفضة وغيرها من الضرائب والرسوم الاخرى, وبما لا يخل
بمبدأ المعاملة بالمثل بالنسبة لما يرد بالاتفاقيات الدولية.
وفى جميع الاحوال على مصلحة الجمارك تحصيل الضردية
على الخدمات الخاضعة للضريبة بما فيها النولون التي تؤدى
على السلع المستوردة سواء كانت تلك السلع خاضعة أو
معفاة بذات الفئة المقررة قانونا على الخدمة.
وفى تطبيق حكم البند ذاته تكون الاسباب التجارية
التي تبرر تخفيض القيمة على النحو الآتي:
(أ) انخفاض القيمة السوقية للسلعة أو الخدمة,
كنتيجة لوجود بدائل ذات آليات أو تقنيات أعلى أو
انخفاض أسعارها عالميا.
(ب) الرواكد.
(ج)البضاعة التالفة أو المعيبة.
المحاسب القانوني 004 0 0 اما"
37,"وذلك كله شريطة توافر المستندات التي تؤيد أي من هذه
الاسباب موضحا بها اسم المشترى ورقم تسجيله إن كان
مسجلاء أو رقمه الضربي أو رقم تحقيق الشخصية.
وفى جميع الاحوال يجب أن لا تكون تلك السلع قد سبق
للمسجل استعمالها.
- يكون وعاء الضريبة للسلع والخدمات المستوردة من | 1-في تطبيق حكم البند (8) من المادة ‎)٠١(‏ من القانون
المناطق والمدن الحرة كامل قيمة السلعة شاملا قيمة | عند دخول السلع المصنعة في المناطق الحرة إلى داخل البلاد
المكونات الاجنبية والمحلية والضريبة الجمركية المحصلة | تحسب الضريبة عليها طبقا للأسس المتخذة لتحصيل
عليها وغيرها من الضرائب والرسوم المفروضة. الضريبة الجمركية مع مراعاة أن يكون وعاء الضريبة هو كامل
قيمة السلعة مضاف إليها الضريبة الجمركية المستحقة
وغيرها من الضرائب والرسوم المفروضة.
9- تكون القيمة التي تتخذ أساسا لربط الضريبة على بيع /ا-في تطبيق حكم البند (3) من المادة ‎»)٠١(‏ من القانون
المشغولات البلاتينية والذهبية والفضية والاحجار الكريمة |يعتبر من الاحجار الكريمة الماس وغيره مما ورد بشأنها
بقيمة التشغيل (المصنعية) ودكون وعاء الضريبة عند الإفراج | بملاحظات ونصوص البنود المبينة بالأقسام والفصول
الجمرك على المشغولات المستوردة هو قيمة المصنعية التي | الواردة بجداول التعريفة الجمركية.
تحددها مصلحة الجمارك مضافا إليها الضرائب الجمركية ‏ | ويكون حساب قيمة التشغيل (المصنعية) بالنسبة
وغيرها من الضرائب والرسوم المفروضة وتحدد اللائحة للمشغولات البلاتينية والذهبية والفضية والاحجار الكريمة
التنفيذية ما يعتبر من الاحجار الكريمة وقواعد حساب قيمة فى تطبيق حكم ذلك البند بواقع الفرق بين السعر المعلن
التشغيل (المصنعية). للجرام والقيمة الواردة بالفاتورة.
ولرئيس المحصلة وضع قواعد إجرائية لتحصيل الضريبة على
المشغولات البلاتينية والذهبية والفضية والاحجار الكريمة
مع شعبتي تجار وصناع المشغولات الذهبية والفضية تتفق
وطبيعة هذا النشاط.
المحاسب القانوني 44 2272270 انا"
38,"‎-٠‏ تكون القيمة التي تتخذ أساسا لريط الضرببة بالنسبة
لمبيعات السلع والخدمات الواردة بالجدول المرافق لهذا
القانون على النحو الاقي:
أولا: بالنسبة لمبيعات السلع والخدمات المحلية:
القيمة المدفوعة فعلا أو الواجب دفعها بأية صورة من صور
أداء الثمن وفقا للمجريات الطبيعية للأمور مضافا إليها ضريبة
الجدول.
ثانيا: بالنسبة للسلع والخدمات المستوردة:
(أ) السلع المستوردة: القيمة المتخذة أساسا لتحديد
الضريبة الجمركية مضافا إليها الضرائب الجمركية وغيرها
من الضرائب والرسوم المفروضية وضريبة الجدول.
(ب) الخدمات المستوردة: القيمة المدفوعة فعلا أو
الواجب دفعها بأية صورة من صور أداء الثمن وفقا
للمجريات الطبيعية للأمور مضافا إليها ضريبة الجدول.
‎-١‏ تكون القيمة التي تتخذ اساسا لربط الضريبة على السلع | 8-في تطبيق حكم البند ‎)١١(‏ من المادة ‎)٠١(‏ من القانون»
الجديدة التي يشتريها المكلف ثم يقوم ببيعها بعد استعمالها | يشترط ما بأني:
محليا لمدة لا تقل عن سنتين بواقع (9670) من القيمة البيعية | ‎)١(‏ أن يكون المكلف هو الذي اشترى السلعة» وأن تكون
مع عدم إعمال أحكام الخصم المنصوص عليها في المادة 57 هذا السلعة جديدة ولم يسبق استعمالها من قبل.
من هذا القانون عند البيع. (ب) أن يستعملها المكلف محليا مدة لا تقل عن سنتين.
‎-١١‏ للوزير بالاتفاق مع الوزير المختص ان يصدر قوائم بقيم | (جأ)أن يتم بيعها بمعرفة المكلف.
بعض السلع او الخدمات او وضع اسس محاسيية تتخذ أساسا | وذلك مع عدم إعمال قواعد الخصم المنصوص عليها فى
لربط الضردبة. المادة (؟؟) من القانون اعتبارا من تاريخ البيع حال عدم
المحاسب القانوني 74 اأاخطه ما"
39,"استكمال خصم كامل الضريبة المستحقة على تلك السلعة
عند شرائها جديدة.
وإذا لم يتوافر أي من الشروط المنصوص عليها في الفقرة
الاولى من هذا البند يكون وعاء الضريبة هو كامل القيمة
البيعية.
ولأيسري حكم البند ذاته على الحالات الآتية:
(أ) بيع السلع المستعملة في السوق المحلى.
(ب) السلع المستوردة مستعملة في الخارج أو في المناطق
الحرة.
(ج)الفضلات والخردة.
9-إذا نتج عن المعاملات فيما بين مسجل ومسجل أخر
تعديل فى القيمة السابق سداد الضريبة عليها من زيادة أو
نقص بعد تقديم الاقرار يتبع الاتي:
أولا: إذاكانت القيمة قد عدلت بالزبادة:_فعلى كل من
البائع والمشترى إظهار ذلك بالإقرار المقدم من كل منهما
خلال الشهر التاللي لهذه الواقعة» وذلك على النحو التالي:
(أ) على البائع إضافة الزيادة في الضريبة بموجب إشعار
إضافة إلى الضريبة المستحقة للمصلحة بإقراره.
(ب) على المشترى خصم الزيادة من الضريبة المستحقة
على مبيعاته باعتبارها ضريبة على المدخلات أو
المشتربات السابق تحميلها بالضردبة.
ثانيا: إذاكانت القيمة قد عدلت بالنقص: فعلى كل من
البائع والمشترى إظهار ذلك بالإقرار المقدم من كل منهما
خلال الشهر التالي لهذه الواقعة على النحو التالي:
المحاسب القانوني 2774 أاخطه ما"
40,"(أ) على البائع: خصم قيمة النقص من الضريبة
المستحقة على مبيعاته من إقراره.
(ب)على المشترى: إضافة قيمة النقص في الضريبة
بموجب إشعار إضافة إلى الضريبة المستحقة بإقراره
بشرط أن يكون لدى المشترى دليل كتابي يؤيد
حدوث النقص في الثمن.
ويجب أن تكون إشعارات الخصم والاضافة مبينا بها عنوان
البائع ورقم تسجيله واسم المشترى وعنوانه ورقم الفاتورة
الضريبية الاصلية وتاريخها وكافة البيانات اللازمة التي تتعلق
بتنزيل أو زيادة الثمن وقيمة مبلغ التنزيل أو الاضافة وبيان
مفصل بالضريبة المستنزلة أو المضافة على أن يكون إشعار
الخصم أو الاضافة مؤرخا وبحمل رقما مسلسلا.
وفى جميع الاحوال يكون للمصلحة الحق في تقدير ثمن
السلعة أو الخدمة الخاضعة للضريبة» مسترشدة بكافة
المعايير الموضوعية لتحديد القيمة وفقا لقوى السوق
وظروف التعاملء في ضوء ما يتوافر لدى المصلحة من
مبررات للتقدير.
(مادة ‎)١١‏ (مادة ‎)١١‏
‏تضاف قيمة الضريبة إلى سعر السلع أو الخدمات بما في ذلك | في تطبيق حكم الفقرة الثانية من المادة ‎)١١(‏ من القانون
السلع والخدمات المسعرة جبريا والمحددة الربح.
وتعدل أسعار العقود المبرمة بين مكلفين أو بين أطراف أحدها | تعدل أسعار العقود التي أبرمت قبل العمل بالقانون وينتهي
مكلف والسارية وقت فرض الضريبة وضريبة الجدول أو عند | تنفيذها بعد العمل بالقانون بما في ذلك العقود المستمرة»
تعديل فئاتها بذات قيمة عبء الضريبة أو تعديلها. ويقتصر التعديل على الجزء الذي تم تنفيذه من العقد بعد
وتحدد اللائحة التنفيذية قواعد تطبيق الفقرة الثانية من هذه | العمل بالقانون.
المادة.
المحاسب القانوني 770 أاضخطه ا"
41,"ويكون تعديل أسعار العقود بذات قيمة عبء الضريبة في
تاريخ العمل بالقانون أو تعديله» وذلك دون الإخلال بشروط
التعاقد.

وفى حالة امتناع جهات الإسناد الحكومية عن تعديل أسعار
العقود المشار إليها تقوم وزارة المالية باستقطاع الضريبة
وضريبة الجدول من مستحقات أومن موازنات تلك الجهات.
لا يسرى حكم الفقرة الاولى من هذه المادة على عقود النشاط
السياحي المبرمة قبل العمل بالقانون والتي تنفذ خلال
الموسم محل التعاقد فقط إلى نهايته بشرط أن يقدم المكلف
ما يثبت التعاقد قبل العمل بأحكام القانون وذلك خلال ستين
يوما من تاريخ العمل بهذه اللائحة.

| كان ااضراتب | تجميع واعداد: مصطفي سلامة عبد السميع حدم . لاتدعلاعصقعلكامل 6 مطص 1 :اأهص-ع نه
المحاسب القانوني 77004 أاضخطه ما"
42,"فهرس القانون
الياب الثاى
الضر دية القيمة المضافة
(الفصل الثالث)
الفواتير والإقرارات والإخطارات والدفاتر
والسجلات
المواد من ؟١‏ الى ‎١6‏"
43,"(الفصل الثالث) الفصل الثالث
الفواتير والإقرارات والإخطارات والدفاتر والسجلات الفواتير والاقرارات والإخطارات والدفاتر والسجلات
(مادة ‎)١١‏ (مادة 11)
*ملغاة بقانون الإجراءات الضربيية الموحد الصادر بتاريخ 19- | *ملغاة بالقرار الوزاري رقم 5/87 لسنة ‎٠١7١‏ والصادر بتاريخ
اعم ""يونيو- ‎١‏ 117
(مادة ""11) (مادة ؟١)‏
*ملغاة بقانون الإجراءات الضريبية الموحد الصادر بتاريخ ‎-١9‏ | “ملغاة بالقرار الوزاري رقم 1/1 لسنة ‎٠١5١‏ والصادر بتاريخ
.5"" ”""-يونيو-١ ‎5١37‏
‏(مادة ‎)١١‏
‏*ملغاة بالقرار الوزاري رقم 587 لسنة ‎٠١7١‏ والصادر بتاريخ
؟'-يونيو- ‎٠١7١‏
‏(مادة ‎)١5‏ (مادة 13)
يكون للمصلحة الحق في تقدير الضريبة عن الفترة الضريبية التي
لم يقدم المسجل عنها الإقرار مع بيان الأسس التي استندت
اليها فى التقدير
1 *ملغاة بالقرار الوزاري رقم 587 لسنة ‎٠١7١‏ والصادر بتاريخ
*مضافة بقانون بالقانون رقم "" بتاريخ ‎١‏ ؟-يناير- ‎٠١77‏ “نو ثيه 91 9
(مادة ‎)١١‏ (مادة ‎)١1/‏
‏واذا قامت المصلحة بتعديل الإقرار بعد مضى السنوات الزلدن ‎١‏ في تطبيق أحكام المادة (15) من القانونء للمأمورية
الأولى من تاريخ انتهاء المدة المحددة لتقديمة ل يجوز ري ‎١‏ المختصة تعديل الاقرارات المقدمة في حالة عدم
حساب الضريبة الإضافية عن الفترة التالية لانتهاء مدة السنوات مطابقتها من واقع أي بيانات أو مستندات واتخاذ
الثلاث المشار إليها وحتى تاريخ إخطار المسجل بهذا التعرير ‎١‏ الإجراءات القانونية لتحصيل ما يستحق من ضريبية
وضرببة جدول طبقا لأحكام القانون وبمراعاة ما
*معدلة بقانون الإجراءات الضريبية الموحد بتاريخ 9١-أكتوير-‏ بأق:
تمك ١-في‏ حالة قيام المأمورية المختصة بتعديل الاقرار
واخطار المسجل بذلك خلال الثلاث السنوات الاولى
المحاسب القانوني 7004 2720 0< انط"
44,"التي تبدأ من تاريخ انتهاء المدة المحددة قانونا لتقديم
الاقرار» يتم حساب الضخبريبة الإضافية من تاريخ انتهاء
المدة المحددة قانونا لتقديم الاقرار وحتى تاريخ
السداد.
؟-في حالة قيام المأمورية المختصة بتعديل الاقرار
بعد مضى- الثلاث سنوات المشار إليها وقيام المسجل
بالسداد فى التاريخ المحدد بالإخطارء يتم حساب
الضردبة الإضافية عن مدة الثلاث السنوات المذكورة
فقطهء وفى حالة عدم قيام المسجل بالسداد أو قيامه
بالسداد بعد التاريخ المحدد بالإخطارء يتم حساب
الضريبة الإضافية عن الثلاث سنوات بالإضافة إلى
الفترة من تاريخ الإخطار وحتى تاريخ السداد.
وتخطر المأمورية المختصة المسجل بالتعديل
والاسس التي استندت عليها علي نموذج رقم ‎١١(‏ ض
ق م) بخطاب موصي عليه مصحرباً بعلم الوصول او
بأية وسيلة الكترونية لها حجية الاثبات وفقا لقانون
التوقيع الالكتروني» اوبأية وسيلة كتابيه يتحقق بها
العلم اليقيي
معدلة بالقرارالوزاري رقم781! لسنة ‎٠١7١‏
‏والصادر بتاريخ ""-يونيو-١787‏ بالغاء الفقرة
الأخيرة من المادة

المحاسب القانوني 770 أاضخطه ا"
45,"فهرس القانون
الياب الثابى
الضرسة على القيمة المضافة
(الفصل الرابع)
المواد من 1 ‎١‏ الى ‎""١‏
‏المحاسب القانوني 7004 7220207 “ا"
46,"التسجيا التنسجيل
(مادة 15) (مادة ‎)١8‏
‏خاضعة للضريبة بلغ أو جاوز إجمالي قيمة مبيعاته على ال..بع | أدناة القيام بالاني:
والخدمات الخاضعة للضريبة والمعفاة منها خلال الائنى عزر | () كل منتج أو تاجر أو مؤدى خدمة خاضه للضريية بلغ أو
ألف جنيه أن يتقدم إلى ‎١‏ لحة بطلب لتسجيل اسمه وبياناته للضريبة والمعفاة منها خلال الاثني عشر شهرا السابقة
على النموذج المعد لهذا الغرض وذلك خلال ثلاثين يوما م0 على تاريخ العمل بالقانون خمسمائة ألف جنيه أن يتقدم
تاريخ بلوغ رقم مبيعاته حد التسجيلء» وأما من تبلغ قيمة إلى المامورية المختصة بطلب لتسجيل أسمه وبياناته
مبيعاته هذا المبلغ بعد تاريخ العمل بهذا القانون فى أية سئة ‎٠‏ على النموذج رقم (١ض.ق.م).‏
مالية أو جزء منها أن يتقدم للمصلحة لتسجيل اسمه على النحو (ب) كل مستورد بقصد الإتجار» أو مصدرء أو وكيل توزيع
المشار إليه ولا يسرى الالتزام بالتسجيل على الشخص الطبيع لسلعةء أو خدمة خاضعة للضريبة مهما كان حجم
الذي لا يباشر نشاط بيع سلعة أو أداء خدمة إذا بلغت مييعاته ‎٠‏ معاملاته أن يتقدم إلى المامورية المختصة بطلب
الاتجار او مصدر اووكيل توزيع ان يسجل نفسه لدي المصلحة | تتبع القواعد والإجراءات التالية لتسجيل المكلفين:
مهما كان حجم معاملاته. ١-يقدم‏ المكلف أو من يمثله قانونا طلب التسجيل إلى
وبجوز بقرار من الوزير تعديل حد التسجيل المشار اليه. المأمورية المختصة.
؟-تقوم المأمورية المختصة بمراجعة طلب التسجيل
للتأاكد من استيفائه للبيانات المطلوبة» واذا تبين
للمأمورية عدم استيفاته للبيانات تقوم بقيد هذا
*معدلة بقانون الإجراءات الضريبية الموحد بتاريخ ‎١9‏ -أكتوير - | الطلب بصفة مبدئية مع إخطار المكلف على النموذج
اك رقم (؟.ض.ق.م) لاستيفاء البيانات خلال المدة التي
تحددها المأمورية فى هذا الإخطار.
دكان الضرائب تجميع واعداد: مصطني سلامة عبد السميع حم .طاأوءلاعصق ءامل © مكصأ :اأقصع
المحاسب القانوني 70 722720017 انا"
47,"“-تقيد المأمورية المختصة طلبات التسجيل المستوفاة» أو
التي يتم استيفاؤها في السجل المعد لهذا الغرض.
:-تحدد المصلحة رقم التسجيل للمكلف» وتصدر له شهادة
تسجيل نموذج رقم (7.ض.ق.م) وبخطر بها رفق نموذج
(:.ض.ق.م) لوضعها في مكان ظاهر بالمنشأة.
ه-بالنسبة للمكلفين الذين لم يتقدموا للتسجيل يعدوا
مسجلين بحكم القانون وفقا لحكم الفقرة الرابعة من المادة
‎)١1(‏ من القانون من تاريخ بلوغ قيمة مبيعاتهم حد
التسجيلء» وتسري عليهم أحكام التسجيل من هذا التاريخ
وعلى المأمورية المختصة إخطارهم بنموذج التسجيل
. (مادة ‎)٠١‏
‏لا تسري أحكام التسجيل المنصوص عليها في المادتين
رقمي (18)» (19) من هذه اللائحة على الفئات الآتية:
‎١‏ -المنتجونء» أو المستوردون» أو مؤدو الخدماتء أو التجار
الذين يقتصر نشاطهم على سلع أو خدمات معفاة.
؟-التجار الذين يقتصر نشاطهم على السلع والخدمات التي
تخضع لضريبة الجدول فقط.
""٠-الشخص‏ الطبيعي غير المكلف الذي لا يباشر نشاط
بيع سلعة اوأداء خدمة والذي بلغت مبيعاته الحد
المشار إليه في المادة ‎)١7(‏ من القانون.
(مادة ‎)١1/‏ (مادة ١؟)‏
علي كل شخص غير مقيم وغير مسجل بالمصلحة» يقوم ببيع | في تطبيق أحكام المادة رقمي ‎)١7(‏ من القانون يتم
سلع او أداء خدمات خاضعة للضريبة لشخص غير مسجل | اتباع القواعد والإجراءات التالية لتسجيل الشخص
داخل البلاد ولا يمارس نشاطاً من خلال منشاة دائمة في مصرء | غير المقيم وغير المسجل على البوابة الالكترونية
الخاصة بالمصلحة بنظام تسجيل الموردين المبسط:
المحاسب القانوني 2774 أاخطه ما"
48,"التقدم بطلب للتسجيل بموجب نظام تسجيل الموردين | ١-ان‏ يتم تقديم طلب التسجيل على البوابة
المبسط الذي تحدده اللائحة التنفيذية. الالكترونية الخاصة بالمصلحة من الشخص غير
وبجب على الأشخاص الاعتبارين الذين لا يبيعون سلعاً او لا | المقيم وغير المسجل اومن يمثله على نموذج
يقدمون خدمات خاضعة للضريبة» ولكنهم يخضعون للالتزام | ‎.)١5/١(‏
‏بحساب الضريبة على الخدمات المستوردة وفقاً للفقرة 7 من | ١-يتم‏ مراجعة طلب التسجيل التأكد من تضمنه
المادة 77 من هذا القانون التقدم بطلب للمصلحة من اجل | جميع البيانات المطلوبة» وفي حال عدم استيفاء هذه
التسجيل لأغراض نظام التكليف العكسي البيانات يتم تسجيل الطلب بصفة مؤقتة» ويتم
وتسري احكام هذه المادة على الخدمات خلال مدة ستة أشهر | اخطار الشخص غير المقيم وغير المسجل اومن
من تاريخ العمل بنظام تسجيل الموردين المبسط المنصوص | يمثله عبر البريد الالكتروني لاستكمال البيانات غير
علية في الفقرة الاولي من هذه المادة ويسري على السلع خلال | المستوفاة خلال الفترة التي تحددها المصلحة
مدة لا تجاوز عامين من تاريخ العمل بهذا النظام بالإخطار.
*معدلة بقانون بالقانون رقم ” بتاريخ ‎١1‏ -يناير - ‎٠١757‏ ”- تقوم المصلحة بتسجيل الطلبات المستوفاة او
الطلبات قيد الاستيفاء في السجل المخصص لهذا
الغرض.
:-يتم اصدار رقم تسجيل للشخص غير المقيم وغير
المسجلء وتصدر شهادة تسجيل نموذج رقم (؟ ض
ق م)» ويم اخطاره بذلك بموجب نموذج رقم ‎١١1/١(‏
‏ض ق م)
5- بالنسبة للأشخاص غير المسجلين من غسير
المقيمين الذين لا يتقدمون بطلب للتسجيل بنظام
تسجيل الموردين المبسطء فيتم التعامل معهم
بوصفهم مسجلين بهذا النظام بدءاً من تاريخ وصول
قيمة مبيعاتهم حد التسجيل ويتم تسجيلهم في
السجل المشار اليةء ويتم اخطارهم بذلك من
المصلحة بموجب نموذج رقم ‎١١/١(‏ ض ق م) *
المحاسب القانوني 77004 أاضخطه ما"
49,"*مضافة بالقرار الوزارى رقم -55- بتاربخ 7١-يناير‏ -
(مادة 14) (مادة ١؟)‏
يجوز للشخص الطبيي او الاعتباري الذي لم يبلغ حد التسجيل | في تطبيق أحكام المادة ‎)١18(‏ من القانون» يجوز للشخص
ان يتقدم الي المصلحة لتسجيل اسمه وبياناته طبقاً للشروط | الطبيي أو الاعتباري الذي لم يبلغ إجمالي قيمة مبيعاته من
والاوضاع والاجراءات التي تحددها اللائحة التنفيذية ويعتبر في | السلع والخدمات الخاضعة للضريبة والمعفاة منها حد
حالة التسجيل من المكلفين المخاطبين بأحكام هذا القانون. | التسجيل المنصوص عليه في القانون» أن يتقدم إلى المأمورية
المختصة بطلب لتسجيل اسمه وبياناته على النموذج رقم
(١.ض.ق.م)‏ وذلك وفقا للضوابط والشروط الآتية:
١-ألا‏ يقل حجم تعاملاته خلال الاثني عشر شهرا السابقة على
تاريخ تقديم الطلب عن مائة وخمسين ألف جنيه أو ألا يقل
رأس المال المدفوع عن خمسين ألف جنيه.
؟-أن يكون لديه مقر ثابت يزاول من خلاله النشاط المسجل
عنهك.
""-أن يكون لديه بطاقة ضريبية سارية.
ولا يجوز للمسجل في هذه الحالة طلب إلغاء التسجيل إلا
بعد مضى أريعة وعشرين شهرا من تاريخ التسجيلء مالم
يتوقف المسجل نهائيا عن ممارسة نشاطه قبل هذا التاريخ»
ودشبت ذلك للمصلحة.
*ملغاة بقانون الإجراءات الضريبية الموحد الصادر يتارب+ و١ ‎١‏ *ملغاة بالقرار الوزاري رقم 5/1 لسنة ‎١5١‏ ؟ والصادر بتارب
0 ”-يونيو- ‎7١7١‏
‏(مادة ‎)٠١‏ (مادة 5 ؟١)‏
*ملغاة بقانون الإجراءات الضرديية الموحد الصادر بتار بخ كك | *ملغاة بالقرار الوزاري رقم 211 لسنة ‎7١51‏ والصادر بتارى:
تمتك ""-يونيو-1 ‎7١7‏
‏المحاسب القانوني 7704 أاضخطه ما"
50,"(مادة١؟)‏ (مادة 15)

يجوز لرئيس المصلحة أن يلني التسجيل في الحالات وبالشروط في تطبيق أحكام المادتين (8) و ‎)١١(‏ من القانون يجوز

وبالأوضاع التي تحددها اللائحة. لرئيس المصلحة أو من يفوضه أن يلنى التسجيل في
الحالات الآتية:
١-إذا‏ فقد المسجل أحد شروط التسجيل المنصوص عليها
بالمادتين ‎)١7(‏ و ‎)]١(‏ من القانون.
١-إذا‏ طلب المسجل ذلك وفقا لأحكام المادة ‎)١8(‏ من
القانون.
”""-إذا ثبت لدى المصلحة أن تسجيل المكلف تم على خلاف
؟-إذا توقف المسجل عن ممارسة النشاط وفقا لحكم المادة
رقم (8) من القانونء ويجب على رئيس المصلحة أو من
يفوضه أن يلغ تسجيل المسجل المتوقف اعتبار من تاريخ
آخر يوم في الفترة الضربيبية التي تم خلالها التوقف عن
ممارسة النشاط الخاضع للضريبة أو ضريبة الجدول.
وعلى المصلحة أن تخطر المسجل بإلغاء تسجيله بخطاب
موصى عليه مصحوبا بعلم الوصول على النموذج رقم
(4.ض.ق.م).
ويعتبر المسجل ملغى تسجيله اعتبارا من اليوم التالي لتسليمه
نموذج الإلغاء وعليه الاحتفاظ بنموذج إلغاء التسجيل نموذج
رقم (4.ض.ق.م) وبجميع الدفاتر وسجلات وصور الفواتير
الخاصة بالضريبة لمدة خمس سنوات من تاريخ الإخطار
بالإلغاء.

المحاسب القانوني 4 ا060726 عاط"
51,"وفى حالة تحقيق المسجل لمبيعات أقل من حد التسجيل
المقرر وفقا لأحكام القانون وألغى تسجيله» تستحق الضريبة
على السلع التي في حوزته وقت إلغاء التسجيل.
وفى جميع الاحوال على من ألغى تسجيله الالتزام بما بأتي:
١-الامتناع‏ عن أن يقدم نفسه بأي صورة من الصور على أنه
مسجل.
؟-الاحتفاظ بالدفاتر والسجلات والفواتير لمدة خمس
سنوات من تاريخ الغاء تسجيله وتمكين موظفي المصلحة
من الاطلاع عليها.
وللمأمورية المختصة تعديل الاقرارات المقدمة في حالة
عدم مطابقتها من واقع أي بيانات أو مستندات واتخاذ
الإجراءات القانونية لتحصيل ما يستحق من ضريبة وضريبة
جدول طبقا لأحكام القانون.

المحاسب القانوني 770 أاضخطه ا"
52,"فهرس القانون
الياب الثابى
الضم ديه القيمة ا لمضافة
خصم الضردبة والاعفاء منها وردها
المواد من ""75 الى ‎٠١‏"
53,"(الفصل الخامس) الفصل الخامس
خصم الضريبة والاعفاء منها وردها خصم الضرببة والإعفاء منها وردها
(مادة ؟7) (مادة 71)

للمسجل عند حساب الضريبة ان يخصم من الضرببة | في تطبيق أحكام المادة ‎)١7(‏ من القانون؛ للمسجل أن
المستحقة على قيمة مبيعاته من السلع والخدمات ما سبق | يخصم من إجمالي الضريبة المستحقة على قيمة مبيعاته
سداده او حسابه من ضريبة على المردودات من مبيعاته وما | من السلع أو الخدمات الخاضعة للضريبة ما يأني:
سبق تحميله من هذه الضريبة على مدخلاته بما فيها الضردبة | أولا: ما سبق سداده أو حسابه من ضربية على المردودات
السابق تحميلها على السلع والخدمات المبيعة بمعرفة من مبيعاته وفقا للشروط والأوضاع الآتية
المسجل في كل مرحلة من مراحل توزيعها طبقاً للحدود | ١-يخصم‏ فقط ما سبق سداده من ضريبة على السلع
وبالشروط والاوضاع التي تحددها اللائحة التنفيذية. المرتدة.
وسرى حكم الفقرة الأولى من هذا المادة على: ؟-يشترط أن تكون السلع المرتدة قد تم استلامها فعلا
١-مبيعات‏ السلع والخدمات الموردة إلى الجهات المشار إليها | بحالتها التي بيعت عليها وتم قيد بياناتها في الدفاتر
في المادة الثامنة من مواد الإصدار والمادة 77 من هذا القانون. | والسجلات المنتظمة للمسجلء وتم رد قيمتها إلى المشترى
؟-مبيعات السلع والخدمات الممولة بمنح صدر قانون | بما فيها الضريبة أو تعليتها لحسابه بدفاتر المسجل.
بإعفائها من الضريبة. ""-يص در المسجل إشعار خصم/إضافة مؤرخاء
ويكون الخصم في حدود المستحق من الضريبة ويرحل مالم | ويحمل رقما مسلسلا مثبتا به بيانات كل من البائع
يتم خصمه الي الفترات الضريديية التالية حتى يتم الخصم | والمشترىء على أن يبين به عنوان البائع ورقم تسجيله
بالكامل. واسم المشترى وعنوانه ورقم الفاتورة الضيدبية
ولأيسري الخصم المنصوص عليه في الفقرة الاولي من هذه | الأصلية وتاريخها.
المادة على ما بأني: - ثانيا: ما سبق تحميله من ضرببة على ما بأني:
١-ضريبة‏ الجدولء سواء على سلع أو خدمات خاضعة بذاتها أو | ١-المدخلات‏ من السلع والخدمات سواء مباشرة أو غير
كمدخلات في سلع أوخدمات خاضعة للضريبة» وذلك فيما لم | مباشرة إذاكانت جميع مبيعاته خلال الفترة الضريبية خاضعة
يرد به نص خاص في هذا القانون للضريبة.
؟- ضريبة المدخلات المدرجة ضمن التكلفة. ؟-المشتريات بغرض الإتجار.
”-السلع والخدمات المعفاة.

المحاسب القانوني 74 اأاخطه ما"
